Date,Open,Low,High,Close,DayOfWeek,Is_Imputed,Daily_Return,Close_Lag_1,Close_Lag_3,Close_Lag_7,MA_7,MA_30
2012-01-25,19000.0,19000.0,19000.0,19000.0,Wednesday,False,-0.0952380952380952,21000.0,19000.0,18200.0,19228.571428571428,16959.666666666668
2012-01-26,17000.0,17000.0,17000.0,17000.0,Thursday,False,-0.1052631578947368,19000.0,21000.0,18200.0,19342.85714285714,17084.666666666668
2012-01-27,17000.0,17000.0,17000.0,17000.0,Friday,True,0.0,17000.0,21000.0,18200.0,19171.428571428572,17146.333333333332
2012-01-28,17700.0,17700.0,17700.0,17700.0,Saturday,False,0.0411764705882353,17000.0,19000.0,19000.0,19000.0,17206.333333333332
2012-01-29,18300.0,18300.0,18300.0,18300.0,Sunday,False,0.0338983050847456,17700.0,17000.0,19000.0,18814.285714285714,17289.0
2012-01-30,18300.0,18300.0,18300.0,18300.0,Monday,False,0.0,18300.0,17000.0,21000.0,18714.285714285714,17391.666666666668
2012-01-31,18300.0,18300.0,18300.0,18300.0,Tuesday,True,0.0,18300.0,17700.0,21000.0,18328.571428571428,17483.333333333332
2012-02-01,18300.0,18300.0,18300.0,18300.0,Wednesday,False,0.0,18300.0,18300.0,19000.0,17942.85714285714,17563.333333333332
2012-02-02,18300.0,18300.0,18300.0,18300.0,Thursday,True,0.0,18300.0,18300.0,17000.0,17842.85714285714,17593.333333333332
2012-02-03,18300.0,18300.0,18300.0,18300.0,Friday,True,0.0,18300.0,18300.0,17000.0,18028.571428571428,17663.333333333332
2012-02-04,17750.0,17750.0,17750.0,17750.0,Saturday,False,-0.0300546448087432,18300.0,18300.0,17700.0,18214.285714285714,17746.666666666668
2012-02-05,18500.0,18500.0,18500.0,18500.0,Sunday,False,0.0422535211267605,17750.0,18300.0,18300.0,18221.428571428572,17805.666666666668
2012-02-06,18800.0,18800.0,18800.0,18800.0,Monday,False,0.0162162162162162,18500.0,18300.0,18300.0,18250.0,17889.666666666668
2012-02-07,18900.0,18900.0,18900.0,18900.0,Tuesday,False,0.0053191489361701,18800.0,17750.0,18300.0,18321.428571428572,17984.0
2012-02-08,19200.0,19200.0,19200.0,19200.0,Wednesday,False,0.0158730158730158,18900.0,18500.0,18300.0,18407.14285714286,18062.333333333332
2012-02-09,19200.0,19200.0,19200.0,19200.0,Thursday,True,0.0,19200.0,18800.0,18300.0,18535.714285714286,18139.0
2012-02-10,19200.0,19200.0,19200.0,19200.0,Friday,True,0.0,19200.0,18900.0,18300.0,18664.285714285714,18215.666666666668
2012-02-11,19200.0,19200.0,19200.0,19200.0,Saturday,True,0.0,19200.0,19200.0,17750.0,18792.85714285714,18291.666666666668
2012-02-12,19400.0,19400.0,19400.0,19400.0,Sunday,False,0.0104166666666667,19200.0,19200.0,18500.0,19000.0,18366.666666666668
2012-02-13,19000.0,19000.0,19000.0,19000.0,Monday,False,-0.0206185567010309,19400.0,19200.0,18800.0,19128.571428571428,18448.333333333332
2012-02-14,19350.0,19350.0,19350.0,19350.0,Tuesday,False,0.0184210526315788,19000.0,19200.0,18900.0,19157.14285714286,18516.666666666668
2012-02-15,19500.0,19500.0,19500.0,19500.0,Wednesday,False,0.0077519379844961,19350.0,19400.0,19200.0,19221.428571428572,18596.666666666668
2012-02-16,19600.0,19600.0,19600.0,19600.0,Thursday,False,0.0051282051282051,19500.0,19000.0,19200.0,19264.285714285714,18683.333333333332
2012-02-17,19600.0,19600.0,19600.0,19600.0,Friday,True,0.0,19600.0,19350.0,19200.0,19321.428571428572,18756.666666666668
2012-02-18,19400.0,19400.0,19400.0,19400.0,Saturday,False,-0.010204081632653,19600.0,19500.0,19200.0,19378.571428571428,18803.333333333332
2012-02-19,19200.0,19200.0,19200.0,19200.0,Sunday,False,-0.0103092783505154,19400.0,19600.0,19400.0,19407.14285714286,18843.333333333332
2012-02-20,19400.0,19400.0,19400.0,19400.0,Monday,False,0.0104166666666667,19200.0,19600.0,19000.0,19378.571428571428,18876.666666666668
2012-02-21,19450.0,19450.0,19450.0,19450.0,Tuesday,False,0.0025773195876288,19400.0,19400.0,19350.0,19435.714285714286,18890.0
2012-02-22,19350.0,19350.0,19350.0,19350.0,Wednesday,False,-0.0051413881748072,19450.0,19200.0,19500.0,19450.0,18905.0
2012-02-23,19350.0,19350.0,19350.0,19350.0,Thursday,False,0.0,19350.0,19400.0,19600.0,19428.571428571428,18850.0
2012-02-24,19350.0,19350.0,19350.0,19350.0,Friday,True,0.0,19350.0,19450.0,19600.0,19392.85714285714,18795.0
2012-02-25,19350.0,19350.0,19350.0,19350.0,Saturday,True,0.0,19350.0,19350.0,19400.0,19357.14285714286,18806.666666666668
2012-02-26,19300.0,19300.0,19300.0,19300.0,Sunday,False,-0.0025839793281653,19350.0,19350.0,19200.0,19350.0,18885.0
2012-02-27,18700.0,18700.0,18700.0,18700.0,Monday,False,-0.0310880829015544,19300.0,19350.0,19400.0,19364.285714285714,18961.666666666668
